epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2123,0.0000,0.2123,0.3806,0.2343,0.0000,0.2343,0.2451
1,0.2103,0.0000,0.2103,0.2129,0.2160,0.0000,0.2160,0.1691
2,0.2093,0.0000,0.2093,0.1684,0.2224,0.0000,0.2224,0.1484
3,0.2380,0.0000,0.2380,0.1570,0.3093,0.0000,0.3093,0.1441
4,0.2942,0.0000,0.2942,0.1535,0.2736,0.0000,0.2736,0.1423
5,0.3051,0.0000,0.3051,0.1525,0.2812,0.0000,0.2812,0.1418
6,0.3069,0.0000,0.3069,0.1524,0.2747,0.0000,0.2747,0.1420
7,0.3074,0.0000,0.3074,0.1522,0.2819,0.0000,0.2819,0.1424
8,0.3075,0.0000,0.3075,0.1521,0.2997,0.0000,0.2997,0.1415
9,0.3073,0.0000,0.3073,0.1521,0.2738,0.0000,0.2738,0.1418
10,0.3080,0.0000,0.3080,0.1520,0.2901,0.0000,0.2901,0.1417
11,0.3081,0.0000,0.3081,0.1520,0.2900,0.0000,0.2900,0.1418
12,0.3082,0.0000,0.3082,0.1519,0.2774,0.0000,0.2774,0.1418
13,0.3082,0.0000,0.3082,0.1518,0.2947,0.0000,0.2947,0.1416
14,0.3086,0.0000,0.3086,0.1517,0.2940,0.0000,0.2940,0.1412
15,0.3083,0.0000,0.3083,0.1515,0.2986,0.0000,0.2986,0.1406
16,0.3084,0.0000,0.3084,0.1517,0.2881,0.0000,0.2881,0.1419
17,0.3083,0.0000,0.3083,0.1518,0.2880,0.0000,0.2880,0.1415
18,0.3089,0.0000,0.3089,0.1516,0.2949,0.0000,0.2949,0.1407
19,0.3088,0.0000,0.3088,0.1515,0.2981,0.0000,0.2981,0.1409
20,0.3091,0.0000,0.3091,0.1515,0.2930,0.0000,0.2930,0.1410
21,0.3092,0.0000,0.3092,0.1515,0.2911,0.0000,0.2911,0.1414
22,0.3093,0.0000,0.3093,0.1516,0.2974,0.0000,0.2974,0.1410
23,0.3093,0.0000,0.3093,0.1515,0.2972,0.0000,0.2972,0.1408
24,0.3093,0.0000,0.3093,0.1516,0.2689,0.0000,0.2689,0.1418
25,0.3093,0.0000,0.3093,0.1514,0.2764,0.0000,0.2764,0.1420
26,0.3095,0.0000,0.3095,0.1513,0.3058,0.0000,0.3058,0.1408
27,0.3096,0.0000,0.3096,0.1513,0.3055,0.0000,0.3055,0.1404
28,0.3096,0.0000,0.3096,0.1512,0.2494,0.0000,0.2494,0.1421
29,0.3095,0.0000,0.3095,0.1514,0.2946,0.0000,0.2946,0.1406
