epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3056,0.0000,0.3056,0.3104,0.3780,0.0000,0.3780,0.1880
1,0.3375,0.0000,0.3375,0.1809,0.4194,0.0000,0.4194,0.1502
2,0.3495,0.0000,0.3495,0.1604,0.4334,0.0000,0.4334,0.1392
3,0.3574,0.0000,0.3574,0.1542,0.4443,0.0000,0.4443,0.1345
4,0.3633,0.0000,0.3633,0.1517,0.4576,0.0000,0.4576,0.1311
5,0.3663,0.0000,0.3663,0.1503,0.4611,0.0000,0.4611,0.1288
6,0.3684,0.0000,0.3684,0.1491,0.4683,0.0000,0.4683,0.1274
7,0.3696,0.0000,0.3696,0.1486,0.4719,0.0000,0.4719,0.1258
8,0.3718,0.0000,0.3718,0.1480,0.4696,0.0000,0.4696,0.1249
9,0.3717,0.0000,0.3717,0.1476,0.4719,0.0000,0.4719,0.1240
10,0.3717,0.0000,0.3717,0.1474,0.4717,0.0000,0.4717,0.1230
11,0.3735,0.0000,0.3735,0.1471,0.4714,0.0000,0.4714,0.1223
12,0.3743,0.0000,0.3743,0.1470,0.4726,0.0000,0.4726,0.1219
13,0.3753,0.0000,0.3753,0.1467,0.4747,0.0000,0.4747,0.1212
14,0.3764,0.0000,0.3764,0.1466,0.4754,0.0000,0.4754,0.1203
15,0.3775,0.0000,0.3775,0.1462,0.4820,0.0000,0.4820,0.1201
16,0.3782,0.0000,0.3782,0.1461,0.4852,0.0000,0.4852,0.1193
17,0.3789,0.0000,0.3789,0.1461,0.4886,0.0000,0.4886,0.1188
18,0.3809,0.0000,0.3809,0.1458,0.5049,0.0000,0.5049,0.1183
19,0.3819,0.0000,0.3819,0.1457,0.5073,0.0000,0.5073,0.1180
20,0.3847,0.0000,0.3847,0.1456,0.5282,0.0000,0.5282,0.1176
21,0.3854,0.0000,0.3854,0.1454,0.5191,0.0000,0.5191,0.1168
22,0.3883,0.0000,0.3883,0.1453,0.5346,0.0000,0.5346,0.1166
23,0.3912,0.0000,0.3912,0.1450,0.5405,0.0000,0.5405,0.1160
24,0.3937,0.0000,0.3937,0.1446,0.5499,0.0000,0.5499,0.1142
25,0.3970,0.0000,0.3970,0.1443,0.5541,0.0000,0.5541,0.1134
26,0.3978,0.0000,0.3978,0.1441,0.5602,0.0000,0.5602,0.1126
27,0.4009,0.0000,0.4009,0.1439,0.5753,0.0000,0.5753,0.1116
28,0.4030,0.0000,0.4030,0.1437,0.5760,0.0000,0.5760,0.1118
29,0.4042,0.0000,0.4042,0.1435,0.5899,0.0000,0.5899,0.1115
