epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3000,0.0000,0.3000,0.2729,0.2871,0.0000,0.2871,0.2031
1,0.3001,0.0000,0.3001,0.1812,0.2840,0.0000,0.2840,0.1617
2,0.2962,0.0000,0.2962,0.1652,0.2891,0.0000,0.2891,0.1540
3,0.2961,0.0000,0.2961,0.1607,0.2934,0.0000,0.2934,0.1494
4,0.2979,0.0000,0.2979,0.1584,0.2890,0.0000,0.2890,0.1487
5,0.2988,0.0000,0.2988,0.1570,0.2913,0.0000,0.2913,0.1465
6,0.2982,0.0000,0.2982,0.1559,0.2922,0.0000,0.2922,0.1453
7,0.2995,0.0000,0.2995,0.1557,0.2911,0.0000,0.2911,0.1478
8,0.3006,0.0000,0.3006,0.1549,0.2932,0.0000,0.2932,0.1459
9,0.3012,0.0000,0.3012,0.1542,0.2933,0.0000,0.2933,0.1445
10,0.3032,0.0000,0.3032,0.1536,0.2915,0.0000,0.2915,0.1444
11,0.3036,0.0000,0.3036,0.1534,0.2914,0.0000,0.2914,0.1437
12,0.3059,0.0000,0.3059,0.1531,0.2956,0.0000,0.2956,0.1427
13,0.3060,0.0000,0.3060,0.1529,0.2962,0.0000,0.2962,0.1428
14,0.3067,0.0000,0.3067,0.1529,0.2912,0.0000,0.2912,0.1435
15,0.3073,0.0000,0.3073,0.1527,0.2975,0.0000,0.2975,0.1430
16,0.3073,0.0000,0.3073,0.1527,0.2933,0.0000,0.2933,0.1429
17,0.3078,0.0000,0.3078,0.1526,0.2955,0.0000,0.2955,0.1429
18,0.3085,0.0000,0.3085,0.1525,0.2952,0.0000,0.2952,0.1425
19,0.3090,0.0000,0.3090,0.1525,0.2964,0.0000,0.2964,0.1424
20,0.3089,0.0000,0.3089,0.1523,0.2961,0.0000,0.2961,0.1422
21,0.3087,0.0000,0.3087,0.1523,0.2953,0.0000,0.2953,0.1421
22,0.3091,0.0000,0.3091,0.1523,0.2925,0.0000,0.2925,0.1438
23,0.3091,0.0000,0.3091,0.1523,0.2992,0.0000,0.2992,0.1420
24,0.3088,0.0000,0.3088,0.1523,0.2970,0.0000,0.2970,0.1419
25,0.3094,0.0000,0.3094,0.1521,0.2977,0.0000,0.2977,0.1418
26,0.3097,0.0000,0.3097,0.1520,0.2979,0.0000,0.2979,0.1416
27,0.3088,0.0000,0.3088,0.1521,0.2967,0.0000,0.2967,0.1420
28,0.3101,0.0000,0.3101,0.1519,0.2981,0.0000,0.2981,0.1415
29,0.3090,0.0000,0.3090,0.1518,0.3148,0.0000,0.3148,0.1416
