epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3235,0.0000,0.3235,0.1800,0.3857,0.0000,0.3857,0.2547
1,0.5013,0.0000,0.5013,0.1372,0.4830,0.0000,0.4830,0.1338
2,0.5604,0.0000,0.5604,0.1248,0.5249,0.0000,0.5249,0.1300
3,0.6016,0.0000,0.6016,0.1169,0.5969,0.0000,0.5969,0.1139
4,0.6407,0.0000,0.6407,0.1098,0.6005,0.0000,0.6005,0.1173
5,0.6613,0.0000,0.6613,0.1054,0.6494,0.0000,0.6494,0.1067
6,0.6732,0.0000,0.6732,0.1023,0.6377,0.0000,0.6377,0.1092
7,0.6838,0.0000,0.6838,0.1003,0.6797,0.0000,0.6797,0.0982
8,0.6907,0.0000,0.6907,0.0988,0.6506,0.0000,0.6506,0.1077
9,0.6970,0.0000,0.6970,0.0970,0.6266,0.0000,0.6266,0.1098
10,0.7012,0.0000,0.7012,0.0951,0.6470,0.0000,0.6470,0.1109
11,0.7062,0.0000,0.7062,0.0925,0.6761,0.0000,0.6761,0.1081
12,0.7124,0.0000,0.7124,0.0911,0.6861,0.0000,0.6861,0.0932
13,0.7155,0.0000,0.7155,0.0904,0.6693,0.0000,0.6693,0.1023
14,0.7169,0.0000,0.7169,0.0891,0.6930,0.0000,0.6930,0.0923
15,0.7204,0.0000,0.7204,0.0889,0.6911,0.0000,0.6911,0.0960
16,0.7221,0.0000,0.7221,0.0880,0.6881,0.0000,0.6881,0.0931
17,0.7241,0.0000,0.7241,0.0878,0.7022,0.0000,0.7022,0.0910
18,0.7243,0.0000,0.7243,0.0876,0.6983,0.0000,0.6983,0.0952
19,0.7249,0.0000,0.7249,0.0876,0.7119,0.0000,0.7119,0.0898
20,0.7257,0.0000,0.7257,0.0873,0.7188,0.0000,0.7188,0.0881
21,0.7272,0.0000,0.7272,0.0872,0.7182,0.0000,0.7182,0.0879
22,0.7254,0.0000,0.7254,0.0874,0.6918,0.0000,0.6918,0.0984
23,0.7281,0.0000,0.7281,0.0871,0.7257,0.0000,0.7257,0.0863
24,0.7287,0.0000,0.7287,0.0864,0.7274,0.0000,0.7274,0.0853
25,0.7294,0.0000,0.7294,0.0866,0.7032,0.0000,0.7032,0.0933
26,0.7313,0.0000,0.7313,0.0861,0.7234,0.0000,0.7234,0.0857
27,0.7317,0.0000,0.7317,0.0860,0.7333,0.0000,0.7333,0.0856
28,0.7328,0.0000,0.7328,0.0858,0.7277,0.0000,0.7277,0.0852
