epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3499,0.0000,0.3499,0.2744,0.4214,0.0000,0.4214,0.1518
1,0.4898,0.0000,0.4898,0.1355,0.5179,0.0000,0.5179,0.1298
2,0.5935,0.0000,0.5935,0.1164,0.5873,0.0000,0.5873,0.1126
3,0.6693,0.0000,0.6693,0.1055,0.6713,0.0000,0.6713,0.1039
4,0.7259,0.0000,0.7259,0.0942,0.7097,0.0000,0.7097,0.0912
5,0.7869,0.0000,0.7869,0.0796,0.7577,0.0000,0.7577,0.0778
6,0.8233,0.0000,0.8233,0.0685,0.7849,0.0000,0.7849,0.0679
7,0.7771,0.0000,0.7771,0.0629,0.7637,0.0000,0.7637,0.0615
8,0.7752,0.0000,0.7752,0.0609,0.7641,0.0000,0.7641,0.0592
9,0.7756,0.0000,0.7756,0.0599,0.7641,0.0000,0.7641,0.0582
10,0.7756,0.0000,0.7756,0.0589,0.7642,0.0000,0.7642,0.0567
11,0.7760,0.0000,0.7760,0.0574,0.7644,0.0000,0.7644,0.0554
12,0.7760,0.0000,0.7760,0.0563,0.7645,0.0000,0.7645,0.0549
13,0.7760,0.0000,0.7760,0.0556,0.7642,0.0000,0.7642,0.0547
14,0.7760,0.0000,0.7760,0.0546,0.7647,0.0000,0.7647,0.0538
15,0.7760,0.0000,0.7760,0.0525,0.7640,0.0000,0.7640,0.0510
16,0.7759,0.0000,0.7759,0.0495,0.7635,0.0000,0.7635,0.0500
17,0.7822,0.0000,0.7822,0.0474,0.7949,0.0000,0.7949,0.0491
18,0.7901,0.0000,0.7901,0.0466,0.7826,0.0000,0.7826,0.0469
19,0.7901,0.0000,0.7901,0.0462,0.7829,0.0000,0.7829,0.0460
20,0.7901,0.0000,0.7901,0.0460,0.7829,0.0000,0.7829,0.0458
21,0.7901,0.0000,0.7901,0.0458,0.7829,0.0000,0.7829,0.0458
22,0.7901,0.0000,0.7901,0.0457,0.7829,0.0000,0.7829,0.0454
23,0.7898,0.0000,0.7898,0.0456,0.7830,0.0000,0.7830,0.0456
24,0.7900,0.0000,0.7900,0.0456,0.7827,0.0000,0.7827,0.0455
25,0.7902,0.0000,0.7902,0.0455,0.7830,0.0000,0.7830,0.0453
26,0.7900,0.0000,0.7900,0.0456,0.7828,0.0000,0.7828,0.0454
27,0.7901,0.0000,0.7901,0.0454,0.7828,0.0000,0.7828,0.0452
28,0.7902,0.0000,0.7902,0.0453,0.7828,0.0000,0.7828,0.0454
29,0.7902,0.0000,0.7902,0.0453,0.7828,0.0000,0.7828,0.0452
30,0.7901,0.0000,0.7901,0.0451,0.7828,0.0000,0.7828,0.0448
31,0.7902,0.0000,0.7902,0.0449,0.7841,0.0000,0.7841,0.0447
32,0.7903,0.0000,0.7903,0.0449,0.7847,0.0000,0.7847,0.0443
33,0.7942,0.0000,0.7942,0.0447,0.7828,0.0000,0.7828,0.0443
34,0.7903,0.0000,0.7903,0.0446,0.7842,0.0000,0.7842,0.0442
35,0.7915,0.0000,0.7915,0.0445,0.7856,0.0000,0.7856,0.0442
36,0.7930,0.0000,0.7930,0.0444,0.7872,0.0000,0.7872,0.0439
37,0.7962,0.0000,0.7962,0.0443,0.7987,0.0000,0.7987,0.0439
38,0.8021,0.0000,0.8021,0.0443,0.8097,0.0000,0.8097,0.0441
39,0.8059,0.0000,0.8059,0.0442,0.8065,0.0000,0.8065,0.0433
40,0.8121,0.0000,0.8121,0.0438,0.8122,0.0000,0.8122,0.0434
41,0.8728,0.0000,0.8728,0.0393,0.9138,0.0000,0.9138,0.0365
42,0.9874,0.0000,0.9874,0.0146,0.9778,0.0000,0.9778,0.0132
43,0.9936,0.0000,0.9936,0.0062,0.9883,0.0000,0.9883,0.0063
44,0.9955,0.0000,0.9955,0.0044,0.9891,0.0000,0.9891,0.0079
45,0.9958,0.0000,0.9958,0.0039,0.9929,0.0000,0.9929,0.0046
46,0.9963,0.0000,0.9963,0.0035,0.9945,0.0000,0.9945,0.0047
47,0.9964,0.0000,0.9964,0.0034,0.9939,0.0000,0.9939,0.0038
48,0.9965,0.0000,0.9965,0.0030,0.9945,0.0000,0.9945,0.0045
49,0.9965,0.0000,0.9965,0.0035,0.9936,0.0000,0.9936,0.0052
50,0.9965,0.0000,0.9965,0.0031,0.9930,0.0000,0.9930,0.0036
51,0.9967,0.0000,0.9967,0.0025,0.9948,0.0000,0.9948,0.0031
52,0.9968,0.0000,0.9968,0.0024,0.9952,0.0000,0.9952,0.0027
53,0.9968,0.0000,0.9968,0.0023,0.9952,0.0000,0.9952,0.0037
54,0.9968,0.0000,0.9968,0.0028,0.9950,0.0000,0.9950,0.0030
55,0.9968,0.0000,0.9968,0.0023,0.9930,0.0000,0.9930,0.0030
56,0.9971,0.0000,0.9971,0.0021,0.9954,0.0000,0.9954,0.0029
57,0.9972,0.0000,0.9972,0.0024,0.9950,0.0000,0.9950,0.0048
58,0.9972,0.0000,0.9972,0.0023,0.9940,0.0000,0.9940,0.0032
59,0.9973,0.0000,0.9973,0.0023,0.9954,0.0000,0.9954,0.0029
60,0.9972,0.0000,0.9972,0.0019,0.9943,0.0000,0.9943,0.0032
61,0.9973,0.0000,0.9973,0.0021,0.9956,0.0000,0.9956,0.0028
62,0.9975,0.0000,0.9975,0.0019,0.9949,0.0000,0.9949,0.0028
63,0.9981,0.0000,0.9981,0.0018,0.9958,0.0000,0.9958,0.0031
